Frame,Activity,LK_Dots,HS_Avg_Magnitude,Farneback_Avg_Magnitude,GMM_Foreground_Pixels,FD_Foreground_Pixels,Elbow_Angle,Knee_Angle,GMM_Time,FD_Time
1,Unknown,37,0.030028647,0.077933826,2073600,89,7.252565054980625,168.2738143187013,0.0695960521697998,0.004026174545288086
2,Unknown,37,0.07907691,0.42049325,110329,16505,9.118727410784881,168.96087538071,0.04678058624267578,0.01658034324645996
3,Unknown,37,0.0896234,0.45929173,110633,29481,10.086256331255049,169.59339201937505,0.06370711326599121,0.02028942108154297
4,Unknown,37,0.09615396,0.47154173,125196,17701,11.700605810708028,169.81191470715504,0.04715156555175781,0.019200801849365234
5,Unknown,37,0.15300067,0.6558233,177689,38860,12.915842240834957,169.69599309748855,0.04304695129394531,0.024147987365722656
6,Unknown,37,0.0,6.2419706e-05,0,0,13.403511956655247,169.7728885522777,0.04939556121826172,0.013017892837524414
7,Unknown,36,0.08388936,0.38435295,111950,24829,13.379845512348494,169.88786538415144,0.06382989883422852,0.017084598541259766
8,Unknown,36,0.17643657,0.6874126,199014,45075,13.498651069651919,169.5868695696664,0.09347987174987793,0.020915985107421875
9,Unknown,36,0.13903719,0.53399354,139975,28770,13.59677584713206,169.3626864027727,0.0483396053314209,0.014021635055541992
10,No Activity Detected,36,0.15370747,0.6472848,128286,48436,14.58401291673684,169.06113613291527,0.04160642623901367,0.01603531837463379
11,No Activity Detected,36,0.0,9.6646356e-05,51818,0,15.001970406402622,168.83796755013302,0.0592198371887207,0.01392507553100586
12,No Activity Detected,36,0.14954944,0.55694175,168767,31524,15.889740764641687,169.04901446712648,0.045282602310180664,0.015896081924438477
13,No Activity Detected,36,0.24908705,0.8398643,264200,57246,16.72727361303983,169.3171318712715,0.10504889488220215,0.020666122436523438
14,No Activity Detected,36,0.14040972,0.504142,174074,36570,17.16796301508249,168.7889533928982,0.07984399795532227,0.014461517333984375
15,No Activity Detected,36,0.25940686,0.8833883,196781,59095,17.355473290140903,168.82239540468845,0.05530595779418945,0.015635967254638672
16,No Activity Detected,36,0.022326533,0.049143307,92790,55,17.69330492020674,168.16869301900493,0.07480120658874512,0.016316652297973633
17,No Activity Detected,36,0.22568364,0.73507345,238922,43995,18.375278948514396,168.46886808000036,0.0651862621307373,0.01293635368347168
18,No Activity Detected,36,0.28061175,0.91018796,246386,64388,19.57345259618121,168.66083484413835,0.08928704261779785,0.013823747634887695
19,No Activity Detected,36,0.19331169,0.633946,264245,45152,21.060062348942193,167.97352372917723,0.10310482978820801,0.015201091766357422
20,No Activity Detected,36,0.326497,1.0873009,261607,66303,23.04270203097413,167.97723965801737,0.049695491790771484,0.01566314697265625
21,No Activity Detected,36,0.026915044,0.05206024,214050,52,23.199915541816726,168.05585797888162,0.05671191215515137,0.0
22,No Activity Detected,36,0.22671276,0.77816147,270651,48302,25.125042483333452,167.80273765405812,0.08130717277526855,0.015628814697265625
23,No Activity Detected,36,0.3010557,1.0186054,271337,67555,27.87447010706101,167.7768803392525,0.046633005142211914,0.017301559448242188
24,No Activity Detected,36,0.22788183,0.80065745,272695,49060,29.50307960885632,167.50796047632204,0.0981135368347168,0.029168128967285156
25,No Activity Detected,36,0.34565786,1.3829962,308746,70209,31.63812712671634,167.35688303851518,0.058470726013183594,0.01383519172668457
26,No Activity Detected,36,0.0,5.6354595e-05,274831,0,32.04506900882196,166.9444691045605,0.07357335090637207,0.01609659194946289
27,No Activity Detected,36,0.20509912,0.7341021,245531,48979,33.646148769698506,166.49094523720447,0.05867600440979004,0.01221013069152832
28,No Activity Detected,36,0.3455985,1.3682368,277189,72789,38.4388671176763,166.5561226206395,0.04945707321166992,0.015359878540039062
29,No Activity Detected,36,0.45467174,1.2347759,368784,61857,45.45934899710711,166.64929479213194,0.09430503845214844,0.02187204360961914
30,No Activity Detected,36,0.36262822,1.7238256,385393,71414,51.46699662717818,166.71959425289063,0.0794374942779541,0.016095876693725586
31,No Activity Detected,36,0.036234524,0.11244545,364673,1060,52.80988574604356,166.64923969047976,0.08488845825195312,0.012257575988769531
32,Dumbbell Curl,36,0.25966442,0.8770332,336615,55742,60.12955230997934,166.92050519422034,0.06157183647155762,0.0
33,Dumbbell Curl,36,0.36195195,1.5026807,345514,76333,65.49607024568263,167.4637411235955,0.09304952621459961,0.01998138427734375
