Frame,Activity,LK_Dots,HS_Avg_Magnitude,Farneback_Avg_Magnitude,GMM_Foreground_Pixels,FD_Foreground_Pixels,Elbow_Angle,Knee_Angle,GMM_Time,FD_Time
1,Unknown,43,0.088248394,0.32634267,2073600,20486,,,0.04764056205749512,0.016020774841308594
2,Unknown,43,0.0,5.7198205e-05,0,0,177.66326879570653,179.27177752807734,0.04390525817871094,0.012094736099243164
3,Unknown,43,0.039192062,0.19832619,63384,10476,177.68059571762208,179.36133151012797,0.036917686462402344,0.015771865844726562
4,Unknown,42,0.07127006,0.24919221,75290,16103,177.7125083863132,179.14658097357886,0.04061484336853027,0.015584468841552734
5,Unknown,42,0.08756019,0.25024202,60160,15466,177.63041887535982,179.0598802869831,0.03755807876586914,0.020127534866333008
6,Unknown,41,0.046628345,0.23144105,40696,14945,177.61241789116107,179.2023426802343,0.04601788520812988,0.012086153030395508
7,Unknown,41,0.0,0.00017880721,0,0,177.59544369394274,179.37493372016,0.04219555854797363,0.017276763916015625
8,Unknown,41,0.08678975,0.2388803,47630,14799,177.588760327949,179.41252652271234,0.0359959602355957,0.015767812728881836
9,Unknown,40,0.08761629,0.2508913,45599,15318,177.54103510664447,179.32078334944256,0.04387664794921875,0.016132354736328125
10,Unknown,40,0.048199717,0.22962543,35122,15051,177.52316680299612,179.2543717841725,0.04586958885192871,0.013083934783935547
11,No Activity Detected,39,0.056498468,0.19175984,40907,7363,177.53337275203313,179.22324242467687,0.04375791549682617,0.013843059539794922
12,No Activity Detected,39,0.01966353,0.014813568,21397,0,177.5334725228307,179.18935651076765,0.06329202651977539,0.01584005355834961
13,No Activity Detected,39,0.096935235,0.34208193,49249,15595,177.5497293941014,179.20680323325143,0.053458452224731445,0.017225980758666992
14,No Activity Detected,39,0.07463656,0.33535355,61850,14515,177.60011738446548,179.20044678494236,0.04931235313415527,0.007822990417480469
15,No Activity Detected,39,0.08423734,0.32973844,55434,14162,177.46172093533434,179.2040719550679,0.08696413040161133,0.021311044692993164
16,No Activity Detected,39,0.10461518,0.34240136,61335,14189,177.50733597549393,179.22580643338583,0.07118701934814453,0.018605947494506836
17,No Activity Detected,39,0.032912884,0.025077956,44286,1,177.43287946011532,179.22032857670348,0.08095836639404297,0.019849300384521484
18,No Activity Detected,39,0.080124035,0.36718413,58291,13800,177.45206769340643,179.24660506012293,0.08552670478820801,0.02596879005432129
19,No Activity Detected,39,0.0690166,0.3454192,58572,13776,177.36909394521717,179.23773414816964,0.0581812858581543,0.010885953903198242
20,No Activity Detected,39,0.1004454,0.41333717,70584,14302,177.35066611043092,179.21843778618424,0.1825556755065918,0.11919975280761719
21,No Activity Detected,39,0.07929066,0.31597045,74561,7145,177.3395252754552,179.27168392366406,0.06072664260864258,0.025134563446044922
22,No Activity Detected,39,0.0,3.654362e-05,57228,0,177.33998630412756,179.30502684191768,0.06898856163024902,0.021168231964111328
23,No Activity Detected,38,0.063590735,0.2988095,58612,13505,177.34274587619706,179.3534492889032,0.04711198806762695,0.016091346740722656
24,No Activity Detected,38,0.09980453,0.40259713,66892,13769,177.3582692495068,179.38210108368568,0.046106576919555664,0.01304006576538086
25,No Activity Detected,38,0.09900608,0.3602784,81166,15646,177.34092342379577,179.38040258449087,0.04932260513305664,0.009652376174926758
26,No Activity Detected,37,0.06450899,0.40288505,86036,13574,177.34730638187173,179.39975944811928,0.05211758613586426,0.013591766357421875
27,No Activity Detected,37,0.0,6.8296074e-05,76108,0,177.35635687023031,179.43748470480014,0.05769634246826172,0.019571542739868164
28,No Activity Detected,37,0.10861328,0.36005986,82096,14391,177.3555410525202,179.42921839831635,0.07193398475646973,0.02353954315185547
29,No Activity Detected,36,0.18328267,0.30265453,87440,11688,177.13006180374393,179.4492141450986,0.03353238105773926,0.015871763229370117
30,No Activity Detected,36,0.066681184,0.362054,92069,12698,176.90516733531496,179.46674387860838,0.10274505615234375,0.017777681350708008
31,No Activity Detected,36,0.040702537,0.23479043,91728,6743,176.82261632510605,179.46930581531433,0.05050921440124512,0.007604360580444336
32,No Activity Detected,36,0.0,5.3468906e-05,77977,0,176.77915577912117,179.44779302269174,0.051308393478393555,0.01849532127380371
33,No Activity Detected,36,0.06512226,0.40741935,84772,10253,176.82002422976137,179.40122828780636,0.06467199325561523,0.0275118350982666
34,No Activity Detected,36,0.078548394,0.36587593,89634,11221,176.9040524019864,179.3610501108638,0.06038856506347656,0.017994165420532227
35,No Activity Detected,36,0.06064314,0.34629095,91202,11792,176.95265574611537,179.3595788412008,0.035947561264038086,0.02648782730102539
36,No Activity Detected,36,0.06866624,0.41348952,100390,12476,177.10882278065748,179.2802571493443,0.05108284950256348,0.013916254043579102
37,No Activity Detected,36,0.028930658,0.020071141,88851,5,177.1498347751091,179.23490221459494,0.04336285591125488,0.015657424926757812
38,No Activity Detected,36,0.09847268,0.38878945,98210,13401,177.19664379846967,179.19814080473418,0.047757625579833984,0.013957738876342773
39,No Activity Detected,36,0.0701779,0.35339892,103336,14073,177.20655633065428,179.24196298890155,0.05590486526489258,0.0074918270111083984
40,No Activity Detected,36,0.07627374,0.3458564,110820,15338,177.24022069199444,179.2031906833927,0.043271780014038086,0.023702144622802734
41,No Activity Detected,36,0.08743292,0.30859807,118059,8152,177.33584944049286,179.30304160156527,0.04427742958068848,0.015684843063354492
42,No Activity Detected,36,0.029991616,0.019637745,106972,1,177.46132329823698,179.4147119393362,0.06409716606140137,0.0058476924896240234
43,No Activity Detected,36,0.07587601,0.3806583,110861,16247,177.48459441711316,179.40952826474881,0.06378054618835449,0.0
