Frame,LK_Dots,HS_Avg_Magnitude,Farneback_Avg_Magnitude,GMM_Foreground_Pixels,FD_Foreground_Pixels,Index_Finger_Angle,Middle_Finger_Angle,Ring_Finger_Angle,Pinky_Angle,Gesture,GMM_Time,FD_Time
1,27,0.7071819,1.6239532,2073600,81449,,,,,Unknown,0.047620534896850586,0.008337020874023438
2,27,0.6719407,1.399718,307707,70080,,,,,Unknown,0.026006221771240234,0.0050013065338134766
3,27,0.7022251,1.2030761,251244,59347,,,,,Unknown,0.026006698608398438,0.00500035285949707
4,27,0.5943436,1.0665764,216599,51589,,,,,Unknown,0.025005578994750977,0.006000995635986328
5,27,0.64119136,1.0708491,206961,53963,,,,,Unknown,0.026000261306762695,0.0050084590911865234
6,27,0.64830786,1.1606547,195447,54544,,,,,Unknown,0.02500629425048828,0.0050013065338134766
7,27,0.6327256,1.264969,192020,51465,,,,,Unknown,0.026005268096923828,0.005001544952392578
8,27,0.675744,1.2954106,195908,58192,,,,,Unknown,0.026006221771240234,0.006001472473144531
9,27,0.6849654,1.274231,181501,57506,,,,,Unknown,0.02800726890563965,0.005000591278076172
10,27,0.6561539,1.1073279,157023,54188,,,,,Unknown,0.02700638771057129,0.005001068115234375
11,27,0.567519,0.96965474,167161,46928,,,,,Unknown,0.02700662612915039,0.005001068115234375
12,27,0.4875068,0.8151436,174716,37429,,,,,Unknown,0.027005910873413086,0.005001068115234375
13,27,0.44222447,0.71652114,145804,30934,,,,,Unknown,0.028006315231323242,0.009001731872558594
14,27,0.40066266,0.6427227,114240,25892,,,,,Unknown,0.026005983352661133,0.0050013065338134766
15,27,0.37021086,0.6308054,94851,20110,,,,,Unknown,0.029006004333496094,0.006003141403198242
16,27,0.35695034,0.57987875,100153,18369,,,,,Unknown,0.026005268096923828,0.007002115249633789
17,27,0.3471749,0.5836908,124887,18771,,,,,Unknown,0.026006221771240234,0.010001420974731445
18,27,0.34657493,0.58595765,123604,18841,,,,,Unknown,0.027005672454833984,0.0050013065338134766
19,27,0.3359366,0.5924371,121039,18893,,,,,Unknown,0.028006553649902344,0.0050013065338134766
20,27,0.3287573,0.594566,118012,19966,,,,,Unknown,0.02600550651550293,0.0050013065338134766
21,27,0.3322814,0.60982835,128826,21194,,,,,Unknown,0.025005340576171875,0.005001068115234375
22,27,0.64241993,0.5802809,120429,21965,,,,,Unknown,0.026005268096923828,0.0050008296966552734
23,27,0.2985595,0.5900827,121997,22683,,,,,Unknown,0.026006460189819336,0.005001068115234375
24,27,0.30856997,0.5816162,125210,23062,,,,,Unknown,0.026005983352661133,0.005002021789550781
25,27,0.3403024,0.57833916,130210,21973,,,,,Unknown,0.027005910873413086,0.005001068115234375
26,27,0.36301354,0.5598819,137429,19840,,,,,Unknown,0.02700638771057129,0.006000995635986328
27,27,0.31517163,0.53469515,140582,18652,,,,,Unknown,0.027007341384887695,0.004999637603759766
28,27,0.29249164,0.4892463,140621,17296,,,,,Unknown,0.027005434036254883,0.0050013065338134766
29,27,0.2915847,0.4805371,141122,15799,,,,,Unknown,0.027005910873413086,0.005001544952392578
30,27,0.42612302,0.46723804,151054,14330,,,,,Unknown,0.027005672454833984,0.0050013065338134766
31,27,0.2785688,0.48760214,148143,13012,,,,,Unknown,0.029006481170654297,0.005002737045288086
32,27,0.26538008,0.4303331,147202,11997,,,,,Unknown,0.02600550651550293,0.005001068115234375
33,27,0.25702354,0.40236878,142535,11515,,,,,Unknown,0.028006792068481445,0.005001068115234375
34,27,0.2648885,0.39572045,135805,11668,,,,,Unknown,0.02600550651550293,0.00500035285949707
35,27,0.2616285,0.3862664,130155,10804,,,,,Unknown,0.02800583839416504,0.005001068115234375
36,27,0.2564898,0.37107718,129047,9335,,,,,Unknown,0.025003671646118164,0.0050013065338134766
37,27,0.24367201,0.347073,126646,7839,,,,,Unknown,0.027005434036254883,0.0070018768310546875
38,27,0.23806137,0.32641456,120066,6574,,,,,Unknown,0.026004314422607422,0.008002281188964844
39,27,0.22324242,0.31206512,112699,5661,,,,,Unknown,0.03300833702087402,0.009001016616821289
40,27,0.22166161,0.29148397,104562,4806,,,,,Unknown,0.027005672454833984,0.0050008296966552734
41,27,0.20973366,0.27084538,95261,3972,,,,,Unknown,0.026006221771240234,0.00600123405456543
42,27,0.20174378,0.25686473,87962,3715,,,,,Unknown,0.02700638771057129,0.005001068115234375
43,27,0.1990785,0.26465115,81195,4200,,,,,Unknown,0.026006460189819336,0.006000518798828125
44,27,0.20107105,0.2577345,74629,4943,,,,,Unknown,0.026005268096923828,0.005001544952392578
45,27,0.22304368,0.28792137,70752,5925,,,,,Unknown,0.028006553649902344,0.0050008296966552734
46,27,0.23394623,0.30829936,69279,7276,,,,,Unknown,0.026005983352661133,0.005001068115234375
47,27,0.27047297,0.33612144,78586,10834,,,,,Unknown,0.02700662612915039,0.0050008296966552734
48,27,0.4005014,0.45232123,96391,25545,,,,,Unknown,0.028006792068481445,0.006001710891723633
49,27,0.47203624,0.42129266,113622,39711,,,,,Unknown,0.028006553649902344,0.0060007572174072266
50,27,0.61884826,0.44548348,129715,64652,,,,,Unknown,0.03100752830505371,0.005000591278076172
51,27,0.599526,0.49940103,146305,58172,,,,,Unknown,0.03100728988647461,0.007000923156738281
52,27,0.5573856,0.50517493,167641,53153,,,,,Unknown,0.02700638771057129,0.007001399993896484
53,27,0.56410134,0.5944501,184744,53174,,,,,Unknown,0.02901291847229004,0.0059947967529296875
54,27,0.57651216,0.6064579,193136,50203,,,,,Unknown,0.029006481170654297,0.0050008296966552734
55,27,0.5479556,0.5682553,196873,40081,,,,,Unknown,0.0290067195892334,0.005001068115234375
56,27,0.49697453,0.58188975,206118,29817,,,,,Unknown,0.030006885528564453,0.004000663757324219
57,27,0.45017484,0.79380125,212014,26515,,,,,Unknown,0.03200721740722656,0.0050013065338134766
58,27,0.40979186,0.70552546,213847,26214,93.80631479604051,73.41673659132589,51.36021105424961,31.96501145683829,Unknown,0.03000640869140625,0.005001068115234375
59,27,0.42447543,0.6610508,211734,29097,94.79605944060638,87.3395468577578,77.62785307287669,73.05958471806379,Unknown,0.028013944625854492,0.006994009017944336
60,27,0.54214996,0.6352177,212726,30072,96.87838680589705,90.76216302129211,88.25849210375812,93.02513646951567,Unknown,0.02800607681274414,0.007001638412475586
61,27,0.3678833,0.60002667,210447,30136,97.96827909511293,98.69240400312229,94.58319552669317,103.8962013098303,Unknown,0.031006813049316406,0.0050013065338134766
62,27,0.35265645,0.53459454,206135,27135,99.09930395910767,95.56182824143355,89.26367711948741,98.81279813328285,Unknown,0.028006315231323242,0.005001544952392578
63,27,0.31882685,0.61430645,199945,23037,102.78343555010534,99.76650624065776,91.8127076779296,105.01218157796862,Unknown,0.028005361557006836,0.007000923156738281
64,27,0.32255042,0.63293844,191260,20457,98.76511959398677,98.49027309500408,89.19084303636028,97.83721594740845,Unknown,0.029005765914916992,0.007002353668212891
65,27,0.28685352,0.6350425,181160,18503,101.14965352985747,98.03003191193393,88.40892923936251,94.88451941030695,Unknown,0.029006481170654297,0.005001544952392578
