Frame,LK_Dots,HS_Avg_Magnitude,Farneback_Avg_Magnitude,GMM_Foreground_Pixels,FD_Foreground_Pixels,Index_Finger_Angle,Middle_Finger_Angle,Ring_Finger_Angle,Pinky_Angle,Gesture,GMM_Time,FD_Time
1,29,0.34783393,0.6285677,2073600,17482,,,,,Unknown,0.04401040077209473,0.0050013065338134766
2,29,0.3621598,0.6472419,121347,19849,,,,,Unknown,0.02900528907775879,0.007000446319580078
3,29,0.42392027,0.7472335,123200,28248,,,,,Unknown,0.027004718780517578,0.008002042770385742
4,29,0.50221455,0.8568226,133910,43027,,,,,Unknown,0.02800607681274414,0.0050013065338134766
5,29,0.5371168,0.97217757,147429,45453,,,,,Unknown,0.029007434844970703,0.00500035285949707
6,29,0.5572013,0.905922,151628,47666,,,,,Unknown,0.030007123947143555,0.00400090217590332
7,29,0.556534,0.8714217,146284,46070,,,,,Unknown,0.03000640869140625,0.0050008296966552734
8,29,0.58655894,0.6563818,142800,51748,,,,,Unknown,0.031006574630737305,0.0060024261474609375
9,29,0.5659728,0.6822811,138104,55119,179.6631421190194,166.35492501888336,156.79987160828142,158.81748613974978,Four,0.03000640869140625,0.0050008296966552734
10,29,0.5409859,0.7818055,128639,57726,170.4266219191055,177.29077580149894,174.2442772399356,166.30576720063587,Four,0.031006574630737305,0.005001068115234375
11,29,0.4927591,0.9409342,136575,55879,173.41557712669848,179.81834384330557,166.73814660046753,157.85356544104724,Four,0.02800750732421875,0.005000114440917969
12,29,0.41169348,0.8477897,132213,43168,176.59794236740626,173.12970084007762,162.5231304177375,148.9540773189944,Four,0.028005123138427734,0.007001638412475586
13,29,0.33865973,0.7231825,106134,30115,178.72093575749312,167.5131724590177,159.9789146397185,150.99619998504693,Four,0.029005765914916992,0.00600123405456543
14,29,0.29341742,0.61081016,80295,19214,179.7495608488871,163.87626111697057,153.43224425470498,144.17532009016284,Four,0.029010534286499023,0.005997419357299805
15,29,0.28377938,0.5677091,73746,16515,170.67192954019373,156.08823226567893,140.07269497966942,143.1381146423627,Four,0.028005599975585938,0.0050008296966552734
16,29,0.29199854,0.5950928,89997,19203,24.814366191380053,34.83069896191335,43.877702610975476,58.87525960823918,Fist,0.030007600784301758,0.0050029754638671875
17,29,0.28368765,0.5726684,111048,18081,161.9197027303773,119.26863335865895,107.58126316808159,119.38155843992375,Unknown,0.0310056209564209,0.00600123405456543
18,29,0.2895937,0.60774547,116436,21598,157.62675797855394,141.06616801724243,131.82840823787498,132.10063615929934,Four,0.02700519561767578,0.007001399993896484
19,29,0.3201922,0.7237914,121821,29732,154.43039657658815,139.55869623289055,125.81096917234585,128.3401367938346,Four,0.03000617027282715,0.005001544952392578
20,29,0.32411,0.74153453,122611,31572,156.65234308111513,132.56584383508633,115.62924653510728,123.41114643736283,Unknown,0.032007455825805664,0.005001068115234375
21,29,0.33887458,0.82562965,138673,34484,151.5365514179545,127.51313794645026,125.11776474141477,138.29138039930186,Four,0.0290069580078125,0.0060007572174072266
22,29,0.36000848,0.8130597,146742,35778,158.41616139329787,133.23871880582448,112.10141651434152,117.48918918853263,Unknown,0.02900552749633789,0.0070018768310546875
23,29,0.37912026,0.6842842,149523,37088,159.51644108247683,137.08288642802194,123.57776883451427,124.09146579074167,Four,0.03000664710998535,0.00400090217590332
24,29,0.4029042,0.5860127,149586,38167,171.21397167408557,135.29301282668018,114.4038684571208,120.02723097589809,Unknown,0.03000807762145996,0.005000114440917969
25,29,0.43920186,0.5757541,152128,37235,162.70033180336264,106.85632720331185,100.15449537431054,112.03954467176398,Unknown,0.02800607681274414,0.0050008296966552734
26,29,0.4122725,0.58944154,160674,36122,177.8991149758034,136.15263081277175,112.5615615658721,116.54015802620174,Unknown,0.027005910873413086,0.007001161575317383
27,29,0.3992359,0.6281352,161213,34884,174.50128729777956,155.38101595939273,114.99890012077203,121.2593975761206,Unknown,0.030006885528564453,0.0050013065338134766
28,29,0.38325578,0.5919046,152567,34945,173.39400264963692,154.4636903000269,93.8403733407911,100.32663225958055,Unknown,0.03200674057006836,0.0050008296966552734
