Frame,LK_Dots,HS_Avg_Magnitude,Farneback_Avg_Magnitude,GMM_Foreground_Pixels,FD_Foreground_Pixels,Index_Finger_Angle,Middle_Finger_Angle,Ring_Finger_Angle,Pinky_Angle,Gesture,GMM_Time,FD_Time
1,21,0.47494763,0.76268137,2073600,39595,,,,,Unknown,0.03700828552246094,0.00600123405456543
2,21,0.45133778,0.7353141,159527,36425,,,,,Unknown,0.024006128311157227,0.005000591278076172
3,21,0.414432,0.6090382,135764,31662,,,,,Unknown,0.02400517463684082,0.0050008296966552734
4,21,0.397792,0.5713626,119058,26932,,,,,Unknown,0.024005889892578125,0.005000114440917969
5,21,0.38107422,0.5453732,104578,23713,,,,,Unknown,0.025005817413330078,0.005001068115234375
6,21,0.3629225,0.5288121,94670,22313,,,,,Unknown,0.025005817413330078,0.006001472473144531
7,21,0.34679386,0.534862,86539,20961,,,,,Unknown,0.025005578994750977,0.005001068115234375
8,21,0.31952336,0.5090111,77060,19188,,,,,Unknown,0.024005889892578125,0.005000591278076172
9,21,0.30282813,0.4925132,69966,18229,,,,,Unknown,0.024005413055419922,0.0050013065338134766
10,21,0.2993759,0.4974383,65854,18235,,,,,Unknown,0.025006532669067383,0.005000114440917969
11,21,0.29598722,0.5058343,85404,18126,,,,,Unknown,0.024005651473999023,0.005001068115234375
12,21,0.29341164,0.5048982,94611,17847,,,,,Unknown,0.025005817413330078,0.0050013065338134766
13,21,0.2926965,0.5064095,91108,18025,,,,,Unknown,0.024005889892578125,0.005001068115234375
14,21,0.29295728,0.51102185,82356,17575,,,,,Unknown,0.02400517463684082,0.0050013065338134766
15,21,0.28699994,0.49834794,79565,17084,,,,,Unknown,0.02400517463684082,0.005001068115234375
16,21,0.69253236,0.4744175,93625,17591,,,,,Unknown,0.024005651473999023,0.0050013065338134766
17,21,0.29181013,0.47146207,108946,17398,,,,,Unknown,0.02300548553466797,0.00600123405456543
18,21,0.29431665,0.47316504,111343,17412,,,,,Unknown,0.02400517463684082,0.005001068115234375
19,21,0.3101519,0.4695601,98647,17666,,,,,Unknown,0.02400493621826172,0.005001068115234375
20,21,0.28388494,0.45671645,99791,17546,,,,,Unknown,0.025005817413330078,0.005001068115234375
21,21,0.27646062,0.45364785,121699,17501,,,,,Unknown,0.024005889892578125,0.0050008296966552734
22,21,0.2748754,0.44776794,128812,16241,,,,,Unknown,0.024005889892578125,0.005001068115234375
23,21,0.26618534,0.44899258,126627,13378,,,,,Unknown,0.024004697799682617,0.005001068115234375
24,21,0.2499879,0.40535378,116494,10198,,,,,Unknown,0.02400517463684082,0.005001068115234375
25,21,0.24084586,0.35430464,101521,7309,,,,,Unknown,0.025005817413330078,0.0050013065338134766
26,21,0.23377639,0.3249496,96070,6322,,,,,Unknown,0.02400517463684082,0.0050008296966552734
27,21,0.23797432,0.32626876,85338,6621,,,,,Unknown,0.026006221771240234,0.0050013065338134766
28,21,0.23323016,0.31838706,76508,6644,,,,,Unknown,0.02400517463684082,0.005001068115234375
29,21,0.23323166,0.30829793,70425,6408,,,,,Unknown,0.024994850158691406,0.005001544952392578
30,21,0.37222162,0.28751993,70593,5839,,,,,Unknown,0.025003433227539062,0.00500178337097168
31,21,0.22087726,0.29548952,65554,5058,,,,,Unknown,0.025005340576171875,0.006002187728881836
32,21,0.22234578,0.280405,57362,4735,,,,,Unknown,0.025004863739013672,0.00500035285949707
33,21,0.23802556,0.3273332,56200,7063,,,,,Unknown,0.02600574493408203,0.00500035285949707
34,21,0.24228337,0.343581,58570,7926,,,,,Unknown,0.026006221771240234,0.005001068115234375
35,21,0.24122913,0.34048656,62876,7026,,,,,Unknown,0.027005910873413086,0.005001068115234375
36,21,0.23855375,0.3315336,68431,6356,,,,,Unknown,0.025005340576171875,0.007001399993896484
37,21,0.24194625,0.34571615,73546,6064,,,,,Unknown,0.026004791259765625,0.005001068115234375
38,21,0.24136573,0.3386247,77505,5649,,,,,Unknown,0.025005578994750977,0.0050013065338134766
39,21,0.24249604,0.3682937,81511,5870,,,,,Unknown,0.026005983352661133,0.00500035285949707
40,21,0.26607683,0.40599665,86319,6191,,,,,Unknown,0.02500629425048828,0.006000995635986328
41,21,0.31693453,0.4198583,100391,9720,,,,,Unknown,0.02700662612915039,0.008001327514648438
42,21,0.5941861,0.4375777,123544,39723,,,,,Unknown,0.027005910873413086,0.00500178337097168
43,21,0.7195982,0.5472125,151330,59732,,,,,Unknown,0.025005340576171875,0.005001544952392578
44,21,0.64999455,0.39135507,174750,44263,178.21942205506932,176.57901963040672,175.11599572654498,178.2129441283263,Four,0.025006532669067383,0.004000186920166016
45,21,0.621178,0.5540201,182280,39109,178.14167081946252,177.96434435537182,179.88859347949062,179.27525584079265,Four,0.02400517463684082,0.005001068115234375
46,21,0.62634635,0.5318303,185960,33745,176.37516540629196,176.41334334343108,179.223973749836,178.18366092149347,Four,0.025004863739013672,0.005001544952392578
47,20,0.5168873,0.6959947,177807,33276,176.3531934321318,178.3493088287148,179.8895312484916,178.54616197272324,Four,0.025005578994750977,0.0050013065338134766
48,20,0.4053331,0.75635755,158665,22387,177.89196390676602,179.25762684372697,177.64635087357516,179.14454277032362,Four,0.02400517463684082,0.005001068115234375
49,20,0.4028321,0.65227526,142040,16706,178.34729257435168,179.81627249633246,178.05924231895332,179.93549379800396,Four,0.026006221771240234,0.0050013065338134766
50,20,0.36650985,0.57065374,131389,13528,177.113521141374,178.85759127563398,178.77284779053704,178.35209379021637,Four,0.024005651473999023,0.00500178337097168
51,20,0.33079523,0.5409662,128819,14445,176.15982660814763,178.64381953742802,177.77765941874222,177.90149244151172,Four,0.02600550651550293,0.004999876022338867
52,20,0.3043369,0.5316946,128188,15188,175.3876293906936,177.75657233197725,178.03453949407898,178.08747261500687,Four,0.024005651473999023,0.00600123405456543
53,20,0.28023672,0.49302766,127319,14946,176.6476779071187,179.94482291449432,176.36569662097378,176.94978364580717,Four,0.024005413055419922,0.005001068115234375
54,20,0.26191628,0.4610857,125260,13468,176.16171482134206,179.86263087939912,175.90152364262292,175.56240884407325,Four,0.02500605583190918,0.0050013065338134766
55,20,0.24914065,0.42827126,122985,11478,176.73364839692675,179.04987633332513,174.79216040230472,174.90449827439818,Four,0.02400493621826172,0.0050013065338134766
56,20,0.23475981,0.39897475,116370,9890,176.8132259430456,179.64825701741907,175.79422337089224,175.97743095055156,Four,0.025006532669067383,0.005000114440917969
57,20,0.23685838,0.39648482,108094,10194,176.731799884657,179.8829102157679,176.70915129641807,176.46765339421327,Four,0.025006532669067383,0.00500035285949707
58,20,0.24315393,0.40660626,102477,11779,177.0566837368347,179.73191998344012,177.58560602060234,177.83715373869921,Four,0.024005889892578125,0.006001472473144531
59,20,0.23482564,0.3960724,100872,8801,176.70813653536038,179.4582440220783,177.6091093442146,178.38855083976443,Four,0.025005817413330078,0.006001472473144531
60,20,0.3927812,0.41360086,105117,9755,176.37399536719408,179.62674234755872,177.12584792470773,177.52307517798266,Four,0.02500605583190918,0.0050013065338134766
61,20,0.23308021,0.45886666,97652,11546,176.2208325471675,178.72934909351383,177.40567100148178,177.16037745086007,Four,0.024005651473999023,0.005001068115234375
62,20,0.2541238,0.45575774,96161,11470,175.88828796873622,178.47721967019822,177.56275202656434,177.3760544125296,Four,0.02400493621826172,0.005001544952392578
63,20,0.2437969,0.40595803,95996,10010,176.50571256123223,178.96768289939754,177.59956432483384,177.32668606810265,Four,0.025005817413330078,0.0050013065338134766
64,20,0.22094008,0.34860244,94841,8796,176.32253186513555,178.79970384026265,177.68707093705544,177.30976030665482,Four,0.025005578994750977,0.00400090217590332
65,20,0.21050052,0.30072042,93586,7794,176.63989520225914,179.12114186094797,177.54867397592588,177.12441449319695,Four,0.02400493621826172,0.0050013065338134766
66,20,0.19651164,0.2701672,92097,6696,176.13141860290975,178.81760306476022,177.71346448854297,177.14880154413012,Four,0.02400517463684082,0.005001068115234375
67,20,0.19271399,0.2596932,89397,5653,176.1318555612791,179.0481322334677,177.72503620683204,177.2484950424345,Four,0.02500629425048828,0.00500035285949707
68,20,0.1998831,0.27109927,85353,5650,175.8177776978981,178.64739626956168,177.93371115785945,177.17521573253757,Four,0.024006128311157227,0.0050008296966552734
69,20,0.20122619,0.27304244,81477,5509,176.02612081594066,178.90490127181585,177.57329654777885,177.09610040220434,Four,0.024005651473999023,0.005001068115234375
70,20,0.20108911,0.27124316,79219,5089,175.55842466749056,178.4886288674536,177.71684167845135,176.90495995813288,Four,0.024006128311157227,0.005000591278076172
71,20,0.20476052,0.27498037,77580,4420,175.89871918737066,178.52912031517204,177.98869343093423,177.25540368307253,Four,0.025005817413330078,0.0050008296966552734
72,20,0.19013967,0.2557396,77779,3371,176.01828867077668,178.6572190335852,177.77858194921777,176.84532186583914,Four,0.02600550651550293,0.00500035285949707
73,20,0.19493563,0.24725522,79052,2227,175.97880985129194,178.59753963279812,177.85390830064424,176.9492346204633,Four,0.027005910873413086,0.0050013065338134766
74,20,0.19427915,0.23356633,80400,1380,176.15029661826165,178.6146551940797,178.01251245936584,176.9290921415417,Four,0.025005578994750977,0.0050013065338134766
75,20,0.18837334,0.22309807,80131,930,176.01809526549292,178.62881307883393,177.9833841536149,177.0704641861856,Four,0.024005651473999023,0.0050013065338134766
76,20,0.19242696,0.23108955,79265,874,176.16274081489718,178.66315497482574,177.87392433417008,177.03695061548714,Four,0.024005651473999023,0.005001068115234375
77,20,0.18155313,0.21352191,77197,704,175.8663210490459,178.37817389152283,177.88317383000836,177.13898787362663,Four,0.025005578994750977,0.0050008296966552734
