Frame,LK_Dots,HS_Avg_Magnitude,Farneback_Avg_Magnitude,GMM_Foreground_Pixels,FD_Foreground_Pixels,Index_Finger_Angle,Middle_Finger_Angle,Ring_Finger_Angle,Pinky_Angle,Gesture,GMM_Time,FD_Time
1,54,0.343405,0.6808044,2073600,15473,,,,,Unknown,0.026006221771240234,0.0050008296966552734
2,54,0.37836766,0.7085854,139577,19998,,,,,Unknown,0.024005651473999023,0.005001068115234375
3,54,0.48299095,0.73990804,140908,32482,,,,,Unknown,0.024005651473999023,0.0050013065338134766
4,54,0.5294855,0.80349004,145886,36416,,,,,Unknown,0.024005651473999023,0.006001710891723633
5,54,0.55693877,0.9882836,159549,37518,,,,,Unknown,0.024006128311157227,0.00500035285949707
6,54,0.5583446,1.0689685,157597,38809,,,,,Unknown,0.025005340576171875,0.005001068115234375
7,54,0.50497913,1.0602303,130228,39557,,,,,Unknown,0.025005817413330078,0.005001544952392578
8,54,0.47576603,1.172656,113212,38038,,,,,Unknown,0.024005651473999023,0.0050008296966552734
9,54,0.4589754,1.0851252,101351,35891,,,,,Unknown,0.02500605583190918,0.0050008296966552734
10,54,0.45223078,1.0034994,96395,35680,,,,,Unknown,0.024005651473999023,0.005001068115234375
11,54,0.4273156,0.8829495,121630,32756,,,,,Unknown,0.025005578994750977,0.0050013065338134766
12,54,0.3947252,0.7113852,130310,29644,178.7365979102377,163.2965106952272,141.85720095606723,145.84846372428092,Four,0.026005983352661133,0.005001068115234375
13,54,0.3765755,0.68105686,115627,26697,170.7145502240512,115.33578229514079,74.56588294356979,90.2365422701711,Unknown,0.024005413055419922,0.0050013065338134766
14,54,0.35097855,0.6642967,97817,24304,153.41215055469837,133.20671461830497,129.44694820704422,143.40485197649946,Four,0.02500605583190918,0.004000663757324219
15,54,0.32567596,0.64612025,88927,21280,148.55232438765495,139.26550579503632,132.12978798887997,136.50123765464448,Four,0.026006221771240234,0.005001068115234375
16,54,0.30850738,0.6389984,98881,18460,146.69057001229888,112.16621079686573,110.3335545411459,116.54579054210562,Unknown,0.025005102157592773,0.0050013065338134766
17,54,0.2978085,0.6384401,112298,16554,152.95335686755388,137.14277110856514,131.744547145719,137.53940470545078,Four,0.026005983352661133,0.00500035285949707
18,54,0.28308672,0.560289,106180,13252,154.1503646220906,140.9497236742066,139.27308321335383,141.45498789646362,Four,0.026005983352661133,0.005001068115234375
19,54,0.26388976,0.5066124,93094,9722,152.10374615019734,137.5141354267531,138.40737733171628,139.56917024329377,Four,0.025005578994750977,0.005001544952392578
20,54,0.27327815,0.5465722,79031,11936,157.18629609320215,146.76316155108552,140.7029337923526,142.56558295623122,Four,0.02500605583190918,0.004000425338745117
21,54,0.31106275,0.7199706,92592,18957,155.17888540269226,141.57806255267,136.9059625292415,136.5461215384507,Four,0.02500605583190918,0.005001068115234375
22,54,0.31076178,0.68067104,102219,18635,123.36346815279678,117.35713799468917,113.15862589066161,119.24054416004905,Unknown,0.02700662612915039,0.0050008296966552734
23,54,0.29095015,0.6010749,108717,16089,131.7634451299024,125.23641295066308,116.3715146045601,125.39112803018274,Unknown,0.027005672454833984,0.00500178337097168
24,54,0.2760156,0.5652476,107921,15007,147.9423240246812,143.57859876463957,141.6720906231612,149.76562919931246,Four,0.02600550651550293,0.005001544952392578
25,54,0.2664256,0.4686921,102941,13377,152.27839286456864,148.0041058904953,148.34885348253044,153.49182196252468,Four,0.026006460189819336,0.005001544952392578
26,54,0.2559549,0.41995922,108768,10751,150.68544927090258,151.5698398925254,155.53256779199012,156.91736066212513,Four,0.027006149291992188,0.005001068115234375
27,54,0.23874825,0.36969852,104145,7793,157.42576590184368,153.96230975770393,155.3727812442316,161.0898320272004,Four,0.024005413055419922,0.0050008296966552734
28,54,0.22199333,0.36480406,102547,5868,147.8762149982033,141.87788389509615,144.4156341855361,153.00826309182472,Four,0.026006221771240234,0.005000591278076172
29,54,0.21527627,0.36216462,103965,4308,135.21864811485074,127.04405088514548,129.43167411053216,134.23504748497447,Four,0.026006698608398438,0.005000591278076172
30,54,0.35260466,0.3833685,110993,3436,117.51451734788931,108.56175479540971,117.38543238794469,129.37412579021512,Unknown,0.025005578994750977,0.005001544952392578
31,54,0.18739136,0.3849207,106997,3439,106.83633809760165,104.93461504235394,113.97229707027981,122.04088070700465,Unknown,0.025005578994750977,0.0050013065338134766
32,54,0.22817041,0.41417804,101316,4090,120.03865372075465,104.74194842499912,108.03648980882797,116.47986295727813,Unknown,0.024005889892578125,0.00600123405456543
33,54,0.6019159,0.35278443,140201,3974,128.93220120173933,126.6168229730213,126.25405266610097,137.947651526428,Four,0.024004220962524414,0.005001068115234375
34,54,0.23841602,0.38514012,138843,7074,120.52762130727932,121.99533470831788,120.86376263176693,130.11518491132964,Four,0.025005578994750977,0.005001544952392578
35,54,0.27401534,0.38134807,134366,7720,112.49375920155879,118.87241968435215,122.67607915854852,122.62372919220043,Unknown,0.02600550651550293,0.006001472473144531
36,54,0.34889734,0.384583,132856,7564,126.1668961599631,128.79912060252954,128.90569600434515,130.65997929069388,Four,0.02500462532043457,0.005001544952392578
37,54,0.24256714,0.35224935,130114,6570,130.76075135913058,133.1498930639271,132.42712811547352,137.29246680889705,Four,0.024005889892578125,0.004000186920166016
38,54,0.24898948,0.34966,146254,5929,134.43374948647582,133.38144837009014,135.2379234375497,141.6548800324172,Four,0.02400517463684082,0.006001472473144531
39,54,0.22578694,0.354333,174745,5651,138.31379964634172,136.3634838441875,138.70224016848735,148.42595115401522,Four,0.025005102157592773,0.00500178337097168
40,54,0.2112662,0.33918428,205461,4710,144.48996119244353,143.06843353730662,147.2916464428927,155.92831448983716,Four,0.024005651473999023,0.00600123405456543
41,54,0.18868357,0.3065275,244288,3055,120.21560187668146,126.36338652493436,129.94033325314984,137.35309749614112,Four,0.026005983352661133,0.005001068115234375
42,54,0.183924,0.29202503,272453,2106,118.1376605295428,121.86564255819964,127.1257536004996,130.855560665547,Unknown,0.025005817413330078,0.0050013065338134766
