Frame,LK_Dots,Farneback_Avg_Magnitude,GMM_Foreground_Pixels,Mediapipe_Elbow_Angle,Mediapipe_Knee_Angle
1,37,0.077933826,2073600,8.292207993297893,
2,37,0.42049325,109568,9.375300692410741,
3,37,0.45929173,110228,10.27661568557446,
4,37,0.47154173,124649,11.221194269543693,
5,37,0.6558233,177215,12.355297088790183,
6,37,6.2419706e-05,31,12.610825151108939,
7,36,0.38435295,111566,12.380739927185545,
8,36,0.6874126,198672,12.8462557845502,
9,36,0.53399354,139698,13.242852673910615,
10,36,0.6472848,128292,14.204854629194784,
11,36,9.6646356e-05,52117,14.584989919447754,
12,36,0.55694175,168232,15.106126586783665,
13,36,0.8398643,264290,15.87135038736324,
14,36,0.504142,174292,16.47071771374632,
15,36,0.8833883,197057,17.078115125759346,
16,36,0.049143307,93381,17.445205664848793,
17,36,0.73507345,238828,18.821300341101107,
18,36,0.91018796,246644,19.581863369251842,
19,36,0.633946,264431,20.428958677768485,
20,36,1.0873009,261855,23.209399756402057,
21,36,0.05206024,214278,24.020068384946118,
22,36,0.77816147,270851,25.90791427705494,
23,36,1.0186054,271675,28.16062951094691,
24,36,0.80065745,273094,30.366323672306347,
25,36,1.3829962,309850,31.14982417108369,
26,36,5.6354595e-05,275277,31.208192927433874,
27,36,0.7341021,246093,33.13772110312399,
28,36,1.3682368,277794,37.93207875908597,
29,36,1.2347759,369385,44.04144140987729,
30,36,1.7238256,386538,52.78417491840466,
31,36,0.11244545,365200,53.310517674834024,
32,36,0.8770332,337461,60.4549886568033,
33,36,1.5026807,346641,67.25316641386591,
34,36,1.05158,348110,71.52013250984564,
35,36,1.3714352,303816,87.6959221839179,
36,36,8.553893e-05,282519,84.73105673389911,
37,36,1.2050648,281413,270.0556013348082,
38,36,1.5691526,315284,260.7704606947829,
39,35,1.103029,315095,252.00936886930003,
40,35,1.553623,341163,242.2251572641742,
41,35,0.08880862,323391,240.92293661191678,
42,35,1.097306,340801,235.83801858883882,
43,35,1.5643438,353896,231.28231970277827,
44,35,1.7138461,376909,226.09238167358353,
45,35,1.1371406,395244,220.99866441647592,
46,35,0.1356099,381588,220.24572218559354,
47,35,1.6698052,399019,216.00732296938077,
48,35,1.079574,393480,213.3585021026328,
49,35,1.7108784,408743,209.71766450187977,
50,35,1.8643612,435484,206.94322710886723,
51,35,2.8103554e-05,414455,206.93083193928638,
52,35,1.701648,415774,204.7142540551797,
53,35,1.6166478,448765,202.1845182228302,
54,35,1.0904777,459119,201.1478971944371,
55,35,1.4736059,457926,199.65921518566986,
56,35,0.15776874,437329,199.65656338616697,
57,35,1.5428267,457129,198.7094082710395,
58,35,2.0025907,516739,197.3680839313599,
59,35,1.3796347,531735,195.6507357534136,
60,35,1.2091961,529853,194.07777054681878,
61,35,3.2480057e-05,512904,193.53344470651703,
62,35,1.2724586,528607,192.85334231639732,
63,34,1.5786793,545363,191.67450558450474,
64,34,1.0493308,537776,190.51650117064293,
65,34,1.2051353,539718,189.78310119221325,
66,34,0.08431195,524733,189.57120615006508,
67,34,1.2845727,541121,188.53502623487105,
68,34,0.89975727,534485,188.0396513463497,
69,34,1.0559729,539753,187.64395647194354,
70,34,1.1122,548690,186.81480211258736,
71,34,0.11659041,517515,187.24550937206095,
72,34,0.9680499,524627,187.07986330348834,
73,34,0.89688176,519248,187.61539315925052,
74,34,0.96510816,532573,188.34082093746323,
75,33,0.9804994,543969,188.31428171466285,
76,33,5.7052235e-05,522879,188.34667528628407,
77,33,0.8815781,525633,188.52321380197716,
78,32,1.0089943,538989,188.4183966540337,
79,32,1.0640455,555255,189.12854540129078,
80,31,1.0508262,558268,189.70728981829978,
81,31,0.048085388,543647,189.9883076399627,
82,30,1.3230143,559559,189.98906463768049,
83,29,1.4379903,573539,190.20829338728754,
84,29,1.6225016,580679,192.15030896519687,
85,29,1.9781996,585876,196.78515756734524,
86,29,0.082732566,576322,199.57712723969348,
87,29,2.390947,619743,202.6466857130585,
88,29,2.217089,629971,207.25851683138907,
89,27,2.0677218,639571,212.58914809711632,
90,26,2.0589254,646571,225.35006982268865,
91,25,0.07416861,636960,229.50795245491216,
92,24,1.9516648,639991,241.23916089133428,
93,24,1.9515218,629179,266.83626066983993,
94,23,1.9250104,627933,71.87013788312414,
95,23,1.8443818,634635,33.87187377291731,
96,22,0.12902446,631749,37.560173872226436,
97,22,2.0929375,608371,27.5812777373809,
98,22,2.0717082,643805,18.01260686366713,
99,20,1.9947262,635961,15.50760891246269,
100,20,2.2465131,641078,13.921446295206724,
101,20,0.09504486,628829,13.463215495205766,
102,20,2.4353936,629841,11.544923156884366,
103,18,1.6390277,624447,10.251651294729585,
104,18,1.709991,626016,8.538000256198954,
105,18,1.220201,624837,5.2112243461596375,
106,18,0.015445362,611365,4.726243304908012,
107,18,1.1198342,608966,3.743670748977847,
108,18,1.2418885,603864,2.7207213316894605,
109,18,1.1763859,608134,0.6135349363333443,
110,18,0.95873827,601564,1.9333444418094878,
111,18,3.240805e-05,588548,2.37111393195087,
112,18,0.90983075,590804,2.4146086160150513,
113,18,0.71082395,588917,2.2541352021804713,
